№ п/п,№ ведомости прошедшего года,Время поступления,С О Д Е Р Ж А Н И Е Д Е Л
33,39,25 октября,Мещанина Александра Латкина
34,40,1853 12 января,Почтальона Ивана Беспалова
35,41,25 февраля,Мещанина Дмитрия Черемнова
36,42,17 июня,Мещанина Ивана Воскиева
37,43,16 июля,Мещанина Павла Абинова
38,48,19 октября,Губернского секретаря Михаила Соколова
39,45,19 ноября,Мещанина Фадея Шадрина
40,46,1854 8 мая,Мещанина Ивана Кирьянова без прозвания
41,47,16 июня,Мещанина Иоана Новопронявникова
42,48,16 июля,Мещанина Павла Михайлова
43,49,22,Мещанина Ивана Кочнева
44,50,3 августа,Мещанки Серафимы Пановой
45,56,1855 8 февраля,Мещанина Александра Павлова
